#"No.","Time","Source","Destination","Protocol","Length","Info"
#"176","6.713935","10.1.55.57","107.180.28.42","HTTP","672","GET /dash.js/v2.0.0/samples/dash-if-reference-player/index.html HTTP/1.1 "
"571","19.636610","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_1431232bps/BigBuckBunny_10s1.m4s HTTP/1.1 "
"2618","23.150633","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_1431232bps/BigBuckBunny_10s2.m4s HTTP/1.1 "
"4413","26.272002","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_3792491bps/BigBuckBunny_10s3.m4s HTTP/1.1 "
"11196","37.713329","10.1.55.57","136.186.230.27","HTTP","562","GET /dash_dataset/10sec/bunny_3792491bps/BigBuckBunny_10s4.m4s HTTP/1.1 "
"11198","37.720863","10.1.55.57","136.186.230.27","HTTP","563","GET /dash_dataset/10sec/bunny_3792491bps/BigBuckBunny_10s4.m4s HTTP/1.1 "
"17718","49.066957","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_3792491bps/BigBuckBunny_10s5.m4s HTTP/1.1 "
"22828","60.800661","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_3792491bps/BigBuckBunny_10s6.m4s HTTP/1.1 "
"23250","61.405475","10.1.55.57","136.186.230.27","HTTP","562","GET /dash_dataset/10sec/bunny_1431232bps/BigBuckBunny_10s6.m4s HTTP/1.1 "
"23252","61.420392","10.1.55.57","136.186.230.27","HTTP","563","GET /dash_dataset/10sec/bunny_1431232bps/BigBuckBunny_10s6.m4s HTTP/1.1 "
"24259","71.307144","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_1431232bps/BigBuckBunny_10s7.m4s HTTP/1.1 "
"26114","81.617623","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_1431232bps/BigBuckBunny_10s8.m4s HTTP/1.1 "
"27030","86.698010","10.1.55.57","136.186.230.27","HTTP","499","GET /dash_dataset/10sec/bunny_771359bps/BigBuckBunny_10s8.m4s HTTP/1.1 "
"28582","116.374604","10.1.55.57","136.186.230.27","HTTP","503","GET /dash_dataset/10sec/bunny_771359bps/BigBuckBunny_10s_init.mp4 HTTP/1.1 "
"28584","116.419400","10.1.55.57","136.186.230.27","HTTP","499","GET /dash_dataset/10sec/bunny_771359bps/BigBuckBunny_10s9.m4s HTTP/1.1 "
"29199","125.309172","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_216536bps/BigBuckBunny_10s10.m4s HTTP/1.1 "
"29765","135.445275","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_216536bps/BigBuckBunny_10s11.m4s HTTP/1.1 "
"30360","145.519249","10.1.55.57","136.186.230.27","HTTP","501","GET /dash_dataset/10sec/bunny_1431232bps/BigBuckBunny_10s11.m4s HTTP/1.1 "
"31613","150.379192","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_771359bps/BigBuckBunny_10s11.m4s HTTP/1.1 "
"32516","154.063679","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_771359bps/BigBuckBunny_10s12.m4s HTTP/1.1 "
"33492","158.044063","10.1.55.57","136.186.230.27","HTTP","501","GET /dash_dataset/10sec/bunny_1431232bps/BigBuckBunny_10s12.m4s HTTP/1.1 "
"35337","165.305383","10.1.55.57","136.186.230.27","HTTP","501","GET /dash_dataset/10sec/bunny_1431232bps/BigBuckBunny_10s13.m4s HTTP/1.1 "
"37071","172.276125","10.1.55.57","136.186.230.27","HTTP","501","GET /dash_dataset/10sec/bunny_1431232bps/BigBuckBunny_10s14.m4s HTTP/1.1 "
"37110","173.079810","10.1.55.57","136.186.230.27","HTTP","501","GET /dash_dataset/10sec/bunny_1431232bps/BigBuckBunny_10s14.m4s HTTP/1.1 "
"38671","177.496494","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_568500bps/BigBuckBunny_10s14.m4s HTTP/1.1 "
"40026","203.446721","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_568500bps/BigBuckBunny_10s15.m4s HTTP/1.1 "
"40407","205.616191","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_216536bps/BigBuckBunny_10s15.m4s HTTP/1.1 "
"40879","213.753593","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_216536bps/BigBuckBunny_10s16.m4s HTTP/1.1 "
"41328","222.237353","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_216536bps/BigBuckBunny_10s17.m4s HTTP/1.1 "
"41866","232.187159","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_771359bps/BigBuckBunny_10s17.m4s HTTP/1.1 "
"42809","233.778940","10.1.55.57","136.186.230.27","HTTP","500","GET /dash_dataset/10sec/bunny_317328bps/BigBuckBunny_10s17.m4s HTTP/1.1 "
"43175","234.451666","10.1.55.57","136.186.230.27","HTTP","503","GET /dash_dataset/10sec/bunny_317328bps/BigBuckBunny_10s_init.mp4 HTTP/1.1 "
"43179","234.463814","10.1.55.57","136.186.230.27","HTTP","501","GET /dash_dataset/10sec/bunny_1431232bps/BigBuckBunny_10s17.m4s HTTP/1.1 "
"43198","234.482668","10.1.55.57","136.186.230.27","HTTP","504","GET /dash_dataset/10sec/bunny_3245900bps/BigBuckBunny_10s_init.mp4 HTTP/1.1 "
"44696","237.038044","10.1.55.57","136.186.230.27","HTTP","501","GET /dash_dataset/10sec/bunny_3245900bps/BigBuckBunny_10s17.m4s HTTP/1.1 "
"47957","242.700888","10.1.55.57","136.186.230.27","HTTP","501","GET /dash_dataset/10sec/bunny_3792491bps/BigBuckBunny_10s17.m4s HTTP/1.1 "
"51516","248.531370","10.1.55.57","136.186.230.27","HTTP","501","GET /dash_dataset/10sec/bunny_3792491bps/BigBuckBunny_10s18.m4s HTTP/1.1 "
"54192","252.950893","10.1.55.57","136.186.230.27","HTTP","499","GET /dash_dataset/10sec/bunny_45373bps/BigBuckBunny_10s18.m4s HTTP/1.1 "
"54245","253.070186","10.1.55.57","136.186.230.27","HTTP","502","GET /dash_dataset/10sec/bunny_45373bps/BigBuckBunny_10s_init.mp4 HTTP/1.1 "
"54247","253.108163","10.1.55.57","136.186.230.27","HTTP","501","GET /dash_dataset/10sec/bunny_3792491bps/BigBuckBunny_10s19.m4s HTTP/1.1 "
"59030","261.146876","10.1.55.57","136.186.230.27","HTTP","501","GET /dash_dataset/10sec/bunny_3792491bps/BigBuckBunny_10s20.m4s HTTP/1.1 "
